epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,305.11,0.83357,0.66023,0.92308,0.64558,0.86318,0.78744,0.61832,0.83543,1.29473,0.91462,0.0008548,0.0008548,0.0008548
46,311.57,0.85951,0.7167,0.93438,0.76125,0.90194,0.86519,0.66383,0.88186,0.9734,0.91621,0.0008515,0.0008515,0.0008515
47,318.049,0.85327,0.69175,0.92516,0.79544,0.89985,0.8735,0.69636,0.86634,0.80494,0.92223,0.0008482,0.0008482,0.0008482
48,324.814,0.8294,0.71901,0.94278,0.71046,0.85643,0.83651,0.67852,0.83865,0.78942,0.91398,0.0008449,0.0008449,0.0008449
49,331.31,0.78004,0.62326,0.91004,0.71046,0.85643,0.83651,0.67852,0.83865,0.78942,0.91398,0.0008416,0.0008416,0.0008416
50,337.777,0.85083,0.67722,0.94572,0.59543,0.88696,0.8305,0.66419,0.89017,0.9556,0.93246,0.0008383,0.0008383,0.0008383
51,344.314,0.84618,0.65345,0.94217,0.79282,0.71538,0.8195,0.6365,0.83508,0.96863,0.91285,0.000835,0.000835,0.000835
52,350.854,0.88488,0.68767,0.96789,0.77308,0.7256,0.80818,0.64205,0.79937,0.97007,0.89434,0.0008317,0.0008317,0.0008317
53,357.351,0.88712,0.64208,0.91702,0.83593,0.74217,0.82649,0.66858,0.78426,0.9552,0.89048,0.0008284,0.0008284,0.0008284
54,363.779,0.77742,0.68631,0.91076,0.83593,0.74217,0.82649,0.66858,0.78426,0.9552,0.89048,0.0008251,0.0008251,0.0008251
55,370.241,0.80716,0.63353,0.92116,0.80925,0.75011,0.84032,0.67354,0.7702,0.90029,0.8898,0.0008218,0.0008218,0.0008218
56,376.729,0.80278,0.59126,0.91825,0.71007,0.85126,0.87921,0.70082,0.80358,0.85153,0.90171,0.0008185,0.0008185,0.0008185
57,383.449,0.71278,0.5933,0.90901,0.76283,0.75834,0.88575,0.72626,0.8051,0.86115,0.8993,0.0008152,0.0008152,0.0008152
58,390.192,0.75947,0.59904,0.90678,0.79637,0.73692,0.86125,0.69312,0.80318,0.85432,0.8942,0.0008119,0.0008119,0.0008119
59,396.643,0.77559,0.57868,0.89592,0.79637,0.73692,0.86125,0.69312,0.80318,0.85432,0.8942,0.0008086,0.0008086,0.0008086
60,403.073,0.78462,0.56138,0.90672,0.81908,0.75434,0.87112,0.68005,0.93386,0.97011,0.91797,0.0008053,0.0008053,0.0008053
61,409.554,0.7756,0.56501,0.88706,0.79138,0.76178,0.86298,0.69623,0.90964,0.97975,0.91248,0.000802,0.000802,0.000802
62,416.066,0.81287,0.58093,0.88461,0.73657,0.89694,0.89782,0.75511,0.80478,0.85275,0.89297,0.0007987,0.0007987,0.0007987
63,422.756,0.77194,0.55538,0.88271,0.8084,0.85324,0.88964,0.73076,0.82172,0.785,0.89453,0.0007954,0.0007954,0.0007954
64,429.225,0.7771,0.58499,0.89553,0.8084,0.85324,0.88964,0.73076,0.82172,0.785,0.89453,0.0007921,0.0007921,0.0007921
65,435.812,0.7562,0.60372,0.92088,0.76313,0.88363,0.89936,0.71187,0.89143,0.77792,0.91613,0.0007888,0.0007888,0.0007888
66,442.291,0.74631,0.55054,0.89601,0.7005,0.90318,0.90237,0.7105,0.88442,0.74992,0.91091,0.0007855,0.0007855,0.0007855
67,448.892,0.78004,0.57703,0.91812,0.8858,0.76551,0.91408,0.74826,0.82101,0.73279,0.89178,0.0007822,0.0007822,0.0007822
68,455.417,0.73504,0.56489,0.91707,0.83564,0.79978,0.91953,0.73835,0.79527,0.68493,0.88399,0.0007789,0.0007789,0.0007789
69,461.912,0.78575,0.61207,0.92044,0.83564,0.79978,0.91953,0.73835,0.79527,0.68493,0.88399,0.0007756,0.0007756,0.0007756
70,468.438,0.74699,0.51337,0.87178,0.81812,0.75756,0.84039,0.67886,0.85991,0.7571,0.90338,0.0007723,0.0007723,0.0007723
71,474.914,0.77601,0.64821,0.91538,0.81229,0.76182,0.83867,0.67972,0.84789,0.76706,0.90567,0.000769,0.000769,0.000769
72,481.481,0.76324,0.59202,0.92269,0.80682,0.77317,0.83754,0.6774,0.81643,0.70946,0.90052,0.0007657,0.0007657,0.0007657
73,488,0.73203,0.53503,0.89627,0.72978,0.82056,0.79415,0.64589,0.8028,0.66406,0.89777,0.0007624,0.0007624,0.0007624
74,494.419,0.78016,0.572,0.89605,0.72978,0.82056,0.79415,0.64589,0.8028,0.66406,0.89777,0.0007591,0.0007591,0.0007591
75,500.897,0.76367,0.59482,0.88515,0.78154,0.85389,0.84945,0.67921,0.81544,0.65932,0.89932,0.0007558,0.0007558,0.0007558
76,507.362,0.75801,0.55892,0.91271,0.8827,0.77557,0.85765,0.71338,0.76326,0.60605,0.88513,0.0007525,0.0007525,0.0007525
77,513.955,0.75196,0.53038,0.90858,0.78112,0.79217,0.85731,0.70906,0.7934,0.60697,0.8962,0.0007492,0.0007492,0.0007492
78,520.44,0.79977,0.57404,0.90335,0.75965,0.81477,0.81008,0.67864,0.80382,0.66272,0.9068,0.0007459,0.0007459,0.0007459
79,526.831,0.75926,0.56311,0.89988,0.75965,0.81477,0.81008,0.67864,0.80382,0.66272,0.9068,0.0007426,0.0007426,0.0007426
80,533.317,0.74556,0.50521,0.8797,0.77131,0.82613,0.8513,0.70643,0.81736,0.67302,0.90493,0.0007393,0.0007393,0.0007393
81,539.842,0.69506,0.47534,0.88548,0.75365,0.85683,0.87856,0.71474,0.81373,0.62766,0.89857,0.000736,0.000736,0.000736
82,546.379,0.71822,0.52376,0.88565,0.74883,0.87816,0.89444,0.7191,0.8068,0.60383,0.88677,0.0007327,0.0007327,0.0007327
83,552.848,0.72487,0.52179,0.89435,0.6881,0.92034,0.86308,0.70178,0.80199,0.66257,0.88736,0.0007294,0.0007294,0.0007294
84,559.304,0.6935,0.46549,0.86364,0.6881,0.92034,0.86308,0.70178,0.80199,0.66257,0.88736,0.0007261,0.0007261,0.0007261
85,565.819,0.67262,0.49868,0.87687,0.67236,0.89236,0.85085,0.69997,0.79178,0.67372,0.88874,0.0007228,0.0007228,0.0007228
86,572.303,0.71005,0.4998,0.89118,0.80512,0.82731,0.85317,0.69968,0.81134,0.68429,0.90454,0.0007195,0.0007195,0.0007195
87,578.8,0.76004,0.5536,0.89608,0.70312,0.91833,0.89955,0.72523,0.82274,0.65095,0.90859,0.0007162,0.0007162,0.0007162
88,585.279,0.70672,0.50725,0.8568,0.72714,0.91875,0.91534,0.76352,0.80153,0.67107,0.89826,0.0007129,0.0007129,0.0007129
89,591.978,0.79378,0.5701,0.91689,0.72714,0.91875,0.91534,0.76352,0.80153,0.67107,0.89826,0.0007096,0.0007096,0.0007096
90,598.661,0.69146,0.48516,0.8751,0.75338,0.91642,0.89538,0.74427,0.78902,0.65697,0.88836,0.0007063,0.0007063,0.0007063
91,605.094,0.64764,0.47238,0.8649,0.79587,0.78743,0.85828,0.69272,0.81277,0.70143,0.89643,0.000703,0.000703,0.000703
92,611.584,0.67413,0.49318,0.87799,0.82273,0.78432,0.85326,0.69734,0.82222,0.72711,0.89456,0.0006997,0.0006997,0.0006997
93,618.013,0.75144,0.51556,0.8737,0.81891,0.82002,0.88021,0.72161,0.79424,0.72641,0.88375,0.0006964,0.0006964,0.0006964
94,624.45,0.70723,0.50035,0.89949,0.81891,0.82002,0.88021,0.72161,0.79424,0.72641,0.88375,0.0006931,0.0006931,0.0006931
95,630.939,0.73462,0.48769,0.87521,0.84295,0.82459,0.92793,0.79421,0.76392,0.66511,0.88033,0.0006898,0.0006898,0.0006898
96,637.599,0.73984,0.50363,0.89123,0.83494,0.82157,0.92138,0.77057,0.79316,0.66084,0.88679,0.0006865,0.0006865,0.0006865
97,644.046,0.71699,0.48871,0.89574,0.83558,0.79278,0.89592,0.75609,0.80865,0.66872,0.88768,0.0006832,0.0006832,0.0006832
98,650.483,0.76119,0.57018,0.92127,0.8348,0.84646,0.86566,0.73609,0.7667,0.64202,0.87826,0.0006799,0.0006799,0.0006799
99,656.879,0.72308,0.47484,0.88024,0.8348,0.84646,0.86566,0.73609,0.7667,0.64202,0.87826,0.0006766,0.0006766,0.0006766
100,663.312,0.69554,0.51781,0.90547,0.83319,0.82932,0.87563,0.73587,0.8033,0.64818,0.89088,0.0006733,0.0006733,0.0006733
101,669.747,0.72926,0.55931,0.91036,0.81008,0.83245,0.87594,0.7181,0.80531,0.65556,0.89083,0.00067,0.00067,0.00067
102,676.19,0.68967,0.46098,0.85919,0.78425,0.86872,0.87333,0.71909,0.81632,0.65079,0.89361,0.0006667,0.0006667,0.0006667
103,682.642,0.69961,0.48696,0.8754,0.74758,0.85806,0.8797,0.71673,0.81481,0.62857,0.89845,0.0006634,0.0006634,0.0006634
104,689.103,0.72565,0.50407,0.87383,0.74758,0.85806,0.8797,0.71673,0.81481,0.62857,0.89845,0.0006601,0.0006601,0.0006601
105,695.54,0.70553,0.54922,0.90865,0.78819,0.85566,0.8769,0.72057,0.78523,0.66407,0.89127,0.0006568,0.0006568,0.0006568
106,701.973,0.69234,0.50486,0.87206,0.81972,0.80412,0.86754,0.7208,0.77794,0.64684,0.89095,0.0006535,0.0006535,0.0006535
107,708.447,0.71168,0.51155,0.89203,0.83238,0.80476,0.86879,0.71795,0.78596,0.6482,0.89327,0.0006502,0.0006502,0.0006502
108,714.911,0.66659,0.45114,0.8762,0.86829,0.79369,0.8531,0.68981,0.79181,0.62766,0.89236,0.0006469,0.0006469,0.0006469
109,721.336,0.72245,0.47269,0.88699,0.86829,0.79369,0.8531,0.68981,0.79181,0.62766,0.89236,0.0006436,0.0006436,0.0006436
110,727.787,0.71202,0.50195,0.88293,0.83432,0.78824,0.86601,0.70643,0.78689,0.60126,0.88943,0.0006403,0.0006403,0.0006403
111,734.224,0.75547,0.52396,0.88562,0.6984,0.92319,0.8986,0.74587,0.77623,0.56478,0.88431,0.000637,0.000637,0.000637
112,740.688,0.68665,0.46967,0.88738,0.85164,0.85374,0.92085,0.76072,0.77887,0.54744,0.88598,0.0006337,0.0006337,0.0006337
113,747.126,0.67787,0.44933,0.85736,0.78792,0.85873,0.90547,0.74061,0.79289,0.58847,0.88959,0.0006304,0.0006304,0.0006304
114,753.546,0.70743,0.47362,0.86531,0.78792,0.85873,0.90547,0.74061,0.79289,0.58847,0.88959,0.0006271,0.0006271,0.0006271
115,759.976,0.65754,0.46745,0.88195,0.81776,0.80594,0.88903,0.7366,0.78728,0.65586,0.88657,0.0006238,0.0006238,0.0006238
116,766.463,0.6606,0.44069,0.8669,0.79177,0.78761,0.8919,0.74062,0.78138,0.6917,0.88811,0.0006205,0.0006205,0.0006205
117,772.936,0.69223,0.46117,0.87514,0.78608,0.7933,0.84288,0.69556,0.79636,0.7215,0.89581,0.0006172,0.0006172,0.0006172
118,779.397,0.70528,0.47748,0.89763,0.83342,0.78542,0.86554,0.71528,0.77753,0.70216,0.89019,0.0006139,0.0006139,0.0006139
119,785.823,0.67746,0.44443,0.87925,0.83342,0.78542,0.86554,0.71528,0.77753,0.70216,0.89019,0.0006106,0.0006106,0.0006106
120,792.264,0.72458,0.50565,0.88654,0.82657,0.80039,0.87385,0.71247,0.7819,0.66861,0.89066,0.0006073,0.0006073,0.0006073
121,798.768,0.64477,0.45025,0.85394,0.83349,0.80224,0.88247,0.72567,0.80015,0.63842,0.89524,0.000604,0.000604,0.000604
122,805.222,0.64828,0.43129,0.87163,0.83456,0.80733,0.85372,0.69635,0.80496,0.64894,0.89019,0.0006007,0.0006007,0.0006007
123,811.738,0.70861,0.44654,0.87589,0.84176,0.81062,0.85486,0.71355,0.77961,0.6361,0.88297,0.0005974,0.0005974,0.0005974
124,818.173,0.68761,0.43149,0.8606,0.84176,0.81062,0.85486,0.71355,0.77961,0.6361,0.88297,0.0005941,0.0005941,0.0005941
125,824.629,0.69695,0.4628,0.85876,0.86819,0.82274,0.85747,0.71573,0.75838,0.58726,0.8748,0.0005908,0.0005908,0.0005908
126,831.139,0.69112,0.44828,0.85562,0.70878,0.91679,0.90155,0.75191,0.74218,0.54606,0.87394,0.0005875,0.0005875,0.0005875
127,837.602,0.68214,0.43813,0.85922,0.80295,0.92547,0.92091,0.76816,0.80352,0.53433,0.88493,0.0005842,0.0005842,0.0005842
128,844.065,0.62823,0.42798,0.8691,0.83489,0.90631,0.92757,0.77532,0.81066,0.53188,0.88898,0.0005809,0.0005809,0.0005809
129,850.485,0.69622,0.47791,0.87543,0.83489,0.90631,0.92757,0.77532,0.81066,0.53188,0.88898,0.0005776,0.0005776,0.0005776
130,856.932,0.6769,0.49024,0.90873,0.8385,0.92042,0.92417,0.76411,0.77897,0.5493,0.8844,0.0005743,0.0005743,0.0005743
131,863.416,0.67134,0.43402,0.89323,0.73892,0.94476,0.91387,0.75316,0.76095,0.59206,0.88347,0.000571,0.000571,0.000571
132,869.839,0.67543,0.46153,0.89031,0.85186,0.8136,0.88761,0.74767,0.76063,0.69581,0.8794,0.0005677,0.0005677,0.0005677
133,876.284,0.64645,0.4395,0.86504,0.83792,0.81198,0.88302,0.72962,0.75613,0.73168,0.87878,0.0005644,0.0005644,0.0005644
134,882.704,0.63127,0.40348,0.83802,0.83792,0.81198,0.88302,0.72962,0.75613,0.73168,0.87878,0.0005611,0.0005611,0.0005611
135,889.153,0.62925,0.43766,0.86379,0.83285,0.82418,0.88561,0.745,0.74773,0.71552,0.88518,0.0005578,0.0005578,0.0005578
136,895.602,0.63815,0.41763,0.85518,0.84044,0.82876,0.86991,0.74129,0.70468,0.66567,0.88008,0.0005545,0.0005545,0.0005545
137,902.033,0.68736,0.4513,0.86613,0.8376,0.84189,0.87583,0.73747,0.71092,0.64665,0.87859,0.0005512,0.0005512,0.0005512
138,908.514,0.6523,0.4838,0.87975,0.83506,0.82915,0.8683,0.72467,0.73324,0.62304,0.88069,0.0005479,0.0005479,0.0005479
139,914.892,0.65517,0.43532,0.86074,0.83506,0.82915,0.8683,0.72467,0.73324,0.62304,0.88069,0.0005446,0.0005446,0.0005446
140,921.338,0.66152,0.43838,0.88426,0.86427,0.7736,0.88549,0.73568,0.7572,0.63877,0.88122,0.0005413,0.0005413,0.0005413
141,927.804,0.66761,0.4371,0.85898,0.86976,0.81242,0.89962,0.73857,0.78731,0.62547,0.8821,0.000538,0.000538,0.000538
142,934.318,0.64633,0.41639,0.86592,0.84322,0.84233,0.90251,0.75241,0.78661,0.60654,0.88424,0.0005347,0.0005347,0.0005347
143,940.881,0.65772,0.42779,0.8558,0.84455,0.90191,0.92636,0.78755,0.75713,0.59879,0.88529,0.0005314,0.0005314,0.0005314
144,947.34,0.65284,0.43878,0.89238,0.84455,0.90191,0.92636,0.78755,0.75713,0.59879,0.88529,0.0005281,0.0005281,0.0005281
145,953.823,0.63378,0.41662,0.84503,0.82441,0.88637,0.91741,0.78484,0.76536,0.68215,0.88425,0.0005248,0.0005248,0.0005248
146,960.304,0.61427,0.45033,0.86924,0.78951,0.88489,0.8773,0.75049,0.78871,0.75491,0.88632,0.0005215,0.0005215,0.0005215
147,966.774,0.68059,0.45791,0.89704,0.74571,0.89291,0.86195,0.71813,0.79578,0.69093,0.89074,0.0005182,0.0005182,0.0005182
148,973.241,0.59707,0.39865,0.8585,0.70838,0.9044,0.86926,0.72036,0.7938,0.63509,0.89133,0.0005149,0.0005149,0.0005149
149,979.63,0.63755,0.44042,0.86086,0.70838,0.9044,0.86926,0.72036,0.7938,0.63509,0.89133,0.0005116,0.0005116,0.0005116
150,986.06,0.58717,0.3996,0.84818,0.7859,0.89159,0.89209,0.74369,0.77997,0.60631,0.88433,0.0005083,0.0005083,0.0005083
151,992.596,0.61445,0.39617,0.86083,0.86312,0.87032,0.89978,0.75778,0.77232,0.57472,0.88255,0.000505,0.000505,0.000505
152,999.033,0.62401,0.42808,0.87361,0.90744,0.88287,0.95739,0.81779,0.77681,0.54466,0.88493,0.0005017,0.0005017,0.0005017
153,1005.74,0.65732,0.4695,0.88604,0.82524,0.90486,0.94502,0.79734,0.78802,0.54992,0.88474,0.0004984,0.0004984,0.0004984
154,1012.18,0.66732,0.46158,0.86528,0.82524,0.90486,0.94502,0.79734,0.78802,0.54992,0.88474,0.0004951,0.0004951,0.0004951
155,1018.67,0.65758,0.4345,0.87037,0.80216,0.91907,0.92335,0.77317,0.78565,0.59407,0.88626,0.0004918,0.0004918,0.0004918
156,1025.24,0.61121,0.39734,0.86785,0.83575,0.89389,0.92684,0.77989,0.76358,0.61073,0.88085,0.0004885,0.0004885,0.0004885
157,1031.74,0.62107,0.41607,0.86583,0.81545,0.85348,0.90604,0.76815,0.74214,0.64853,0.87764,0.0004852,0.0004852,0.0004852
158,1038.2,0.65968,0.44101,0.87733,0.85482,0.84474,0.90291,0.7671,0.74109,0.65204,0.87596,0.0004819,0.0004819,0.0004819
