epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,590.09,1.01538,0.87107,1.60867,0.40938,0.83333,0.57779,0.33681,1.48189,2.88508,2.2822,0.0008548,0.0008548,0.0008548
46,602.97,1.08409,0.92284,1.57132,0.48451,0.77778,0.67056,0.37629,1.54013,1.56163,2.34864,0.0008515,0.0008515,0.0008515
47,615.872,1.07544,0.87331,1.63104,0.79641,0.50137,0.70683,0.37242,1.36358,1.64509,2.23419,0.0008482,0.0008482,0.0008482
48,628.735,0.97776,0.76036,1.54215,0.49632,0.88889,0.71652,0.348,1.56474,1.70702,2.45509,0.0008449,0.0008449,0.0008449
49,641.544,0.99573,0.82605,1.56087,0.42482,0.73604,0.57299,0.33685,1.32648,2.06317,2.18025,0.0008416,0.0008416,0.0008416
50,654.409,1.02031,0.82259,1.57733,0.37878,0.4532,0.37481,0.13521,2.15537,2.49816,3.19239,0.0008383,0.0008383,0.0008383
51,667.265,0.97275,0.74076,1.53997,0.39002,0.48498,0.4248,0.14673,2.54619,2.35832,3.20313,0.000835,0.000835,0.000835
52,680.201,0.97822,0.76863,1.54066,0.43245,0.56458,0.56451,0.28364,1.89974,1.77981,2.72739,0.0008317,0.0008317,0.0008317
53,693.071,1.05284,0.84257,1.57973,0.74653,0.52778,0.75442,0.48645,1.15883,1.37248,1.97398,0.0008284,0.0008284,0.0008284
54,706.13,1.01097,0.80984,1.50095,0.72627,0.74858,0.63471,0.4179,1.0841,1.54971,1.80677,0.0008251,0.0008251,0.0008251
55,719.009,0.9845,0.83008,1.55104,0.61402,0.77778,0.59032,0.39099,1.13631,1.60593,1.89361,0.0008218,0.0008218,0.0008218
56,731.927,0.93353,0.78111,1.48829,0.6459,0.70833,0.62142,0.36974,1.24797,1.43248,2.10977,0.0008185,0.0008185,0.0008185
57,744.82,1.06128,0.81912,1.58191,0.53029,0.81837,0.56321,0.32841,1.19596,1.85314,2.02977,0.0008152,0.0008152,0.0008152
58,757.671,0.96061,0.77314,1.46281,0.53035,0.88889,0.63225,0.37129,1.22529,1.53815,2.19142,0.0008119,0.0008119,0.0008119
59,770.492,0.83943,0.62638,1.35351,0.61921,0.74645,0.64161,0.39665,1.27555,1.47538,2.26325,0.0008086,0.0008086,0.0008086
60,783.317,0.90145,0.72386,1.46511,0.70395,0.56221,0.59933,0.37228,1.23182,1.59169,2.20514,0.0008053,0.0008053,0.0008053
61,796.181,0.95201,0.70237,1.51801,0.67452,0.77778,0.63123,0.36951,1.21718,1.77632,2.08632,0.000802,0.000802,0.000802
62,809.059,0.99186,0.75112,1.52184,0.53056,0.70833,0.60773,0.36646,1.07334,1.47835,1.88071,0.0007987,0.0007987,0.0007987
63,821.909,0.89238,0.75838,1.4083,0.52563,0.73686,0.6562,0.3767,1.37817,1.87454,2.18676,0.0007954,0.0007954,0.0007954
64,834.728,0.87282,0.71914,1.4064,0.53926,0.63889,0.68416,0.3828,1.33689,1.67581,2.10728,0.0007921,0.0007921,0.0007921
65,847.589,0.96087,0.76859,1.51459,0.61758,0.69916,0.58899,0.30466,1.59517,1.85501,2.54024,0.0007888,0.0007888,0.0007888
66,860.45,0.92429,0.73664,1.51393,0.41024,0.41005,0.37794,0.1443,2.12605,3.24437,3.20648,0.0007855,0.0007855,0.0007855
67,873.326,0.94006,0.75505,1.51554,0.48597,0.74586,0.60937,0.27833,1.87147,1.64765,2.80159,0.0007822,0.0007822,0.0007822
68,886.202,0.86937,0.68393,1.40478,0.67673,0.8199,0.8405,0.39142,1.62879,1.22428,2.43393,0.0007789,0.0007789,0.0007789
69,899.035,0.85969,0.83282,1.40831,0.6682,0.81359,0.81562,0.414,1.46246,1.20859,2.42514,0.0007756,0.0007756,0.0007756
70,911.866,0.86334,0.68615,1.44201,0.76893,0.65278,0.72092,0.40182,1.33037,1.41908,2.1722,0.0007723,0.0007723,0.0007723
71,924.72,0.89237,0.67244,1.45149,0.54646,0.72326,0.71406,0.38416,1.38381,1.46084,2.08597,0.000769,0.000769,0.000769
72,937.574,0.92552,0.70347,1.50952,0.44636,0.70833,0.57316,0.26141,1.74307,2.39932,2.72398,0.0007657,0.0007657,0.0007657
73,950.399,0.8905,0.69258,1.43563,0.9595,0.22222,0.23438,0.08478,2.66961,4.08107,3.50745,0.0007624,0.0007624,0.0007624
74,963.168,0.87469,0.69142,1.42134,0.8617,0.22222,0.24582,0.1001,2.37295,3.73658,3.28273,0.0007591,0.0007591,0.0007591
75,975.994,0.93803,0.68324,1.45448,0.57775,0.79596,0.77171,0.44465,1.2397,1.23453,2.10698,0.0007558,0.0007558,0.0007558
76,988.838,0.83701,0.63622,1.41855,0.72295,0.70833,0.73537,0.46118,1.06638,1.24936,1.91354,0.0007525,0.0007525,0.0007525
77,1001.69,0.92219,0.70045,1.48527,0.69002,0.765,0.74427,0.44978,1.17043,1.37589,2.13164,0.0007492,0.0007492,0.0007492
78,1014.54,0.85069,0.6202,1.40861,0.59532,0.88889,0.74171,0.45733,1.21246,1.51483,2.12464,0.0007459,0.0007459,0.0007459
79,1027.35,0.91505,0.66774,1.45065,0.54719,0.88889,0.6779,0.41393,1.1687,1.69364,2.01593,0.0007426,0.0007426,0.0007426
80,1040.19,0.81215,0.62064,1.42769,0.72721,0.70833,0.66466,0.42363,1.19605,1.63092,1.94318,0.0007393,0.0007393,0.0007393
81,1053.05,0.89224,0.6639,1.43293,0.70557,0.82532,0.69749,0.42855,1.25185,1.75109,2.16095,0.000736,0.000736,0.000736
82,1065.88,0.77008,0.63243,1.3817,0.77272,0.63928,0.67164,0.35567,1.54265,2.02819,2.43194,0.0007327,0.0007327,0.0007327
83,1078.74,0.88455,0.67165,1.45193,0.54926,0.45833,0.46311,0.16665,2.30035,3.05567,3.58999,0.0007294,0.0007294,0.0007294
84,1091.57,0.8428,0.60339,1.42324,0.53342,0.11111,0.01673,0.003,3.36794,7.13421,6.26119,0.0007261,0.0007261,0.0007261
85,1104.41,0.86201,0.64566,1.45443,0.51773,0.05556,0.00911,0.00263,3.4475,6.36056,6.30327,0.0007228,0.0007228,0.0007228
86,1117.26,0.92261,0.7644,1.47311,0.70335,0.05556,0.06825,0.04928,3.1872,5.06672,5.97314,0.0007195,0.0007195,0.0007195
87,1130.1,0.9607,0.74325,1.53808,0.96615,0.22222,0.36213,0.17969,2.28334,2.84352,3.24658,0.0007162,0.0007162,0.0007162
88,1142.93,0.91992,0.66688,1.40575,0.4818,0.66687,0.56186,0.28093,1.54542,2.01059,2.5186,0.0007129,0.0007129,0.0007129
89,1155.79,0.87814,0.71069,1.45675,0.63834,0.70833,0.66627,0.32543,1.48592,1.69182,2.45358,0.0007096,0.0007096,0.0007096
90,1168.66,0.86737,0.67262,1.40024,0.64992,0.70833,0.6578,0.4045,1.11422,1.34158,1.84302,0.0007063,0.0007063,0.0007063
91,1181.51,0.82469,0.62591,1.34536,0.84515,0.69135,0.74535,0.40306,1.32369,1.58277,2.21164,0.000703,0.000703,0.000703
92,1194.36,0.85227,0.62851,1.39939,0.66131,0.83304,0.73463,0.38439,1.32662,1.61273,2.33281,0.0006997,0.0006997,0.0006997
93,1207.21,0.83827,0.60634,1.37089,0.90235,0.27778,0.26773,0.12328,3.19356,3.56886,4.06743,0.0006964,0.0006964,0.0006964
94,1220.01,0.86779,0.7032,1.4905,0.97867,0.16667,0.18776,0.09864,3.57251,3.91106,4.23481,0.0006931,0.0006931,0.0006931
95,1232.85,0.9344,0.70219,1.52549,0.98882,0.16667,0.17482,0.07099,3.6604,4.9768,4.65009,0.0006898,0.0006898,0.0006898
96,1245.69,0.89032,0.69365,1.45077,0.52177,0.05556,0.01596,0.00414,3.67417,5.6688,4.57489,0.0006865,0.0006865,0.0006865
97,1258.53,0.8311,0.68224,1.44103,0.1399,0.11111,0.06088,0.04064,2.72997,4.1581,3.62532,0.0006832,0.0006832,0.0006832
98,1271.38,0.79742,0.58002,1.36496,0.62485,0.69591,0.60058,0.33709,1.57143,2.10448,2.36656,0.0006799,0.0006799,0.0006799
99,1284.17,0.85552,0.63479,1.45061,0.77433,0.7373,0.71295,0.41123,1.52117,1.67981,2.25745,0.0006766,0.0006766,0.0006766
100,1297.02,0.8401,0.65855,1.33236,0.64664,0.69557,0.68044,0.43866,1.09791,1.83461,1.70871,0.0006733,0.0006733,0.0006733
101,1309.88,0.80651,0.55763,1.36203,0.69935,0.8223,0.66357,0.43739,1.06004,1.74812,1.78239,0.00067,0.00067,0.00067
102,1322.7,0.81506,0.62455,1.4235,0.71172,0.83333,0.67545,0.40856,1.14322,1.53135,1.90869,0.0006667,0.0006667,0.0006667
103,1335.55,0.86931,0.6352,1.40427,0.37798,0.39628,0.35551,0.22039,1.42794,2.11927,2.38195,0.0006634,0.0006634,0.0006634
104,1348.34,0.90942,0.62749,1.45012,0.2691,0.32447,0.30747,0.1897,1.4021,2.91811,2.33434,0.0006601,0.0006601,0.0006601
105,1361.17,0.91445,0.7189,1.47621,0.34038,0.45833,0.37318,0.23168,1.46811,1.98299,2.36217,0.0006568,0.0006568,0.0006568
106,1374.02,0.87762,0.63477,1.4705,0.62493,0.88889,0.67866,0.52287,0.84385,1.02366,1.63513,0.0006535,0.0006535,0.0006535
107,1387.14,0.8133,0.59668,1.38292,0.62285,0.83333,0.70736,0.51475,0.94108,1.15802,1.77337,0.0006502,0.0006502,0.0006502
108,1400.01,0.81031,0.63276,1.37873,0.55334,0.88889,0.62635,0.42082,1.11404,1.23858,2.10927,0.0006469,0.0006469,0.0006469
109,1412.83,0.84541,0.61088,1.41354,0.54241,0.85616,0.60146,0.40484,1.17254,1.25203,2.21303,0.0006436,0.0006436,0.0006436
110,1425.69,0.86489,0.64152,1.42361,0.57611,0.76389,0.65628,0.41488,1.22788,1.23255,2.06599,0.0006403,0.0006403,0.0006403
111,1438.6,0.79498,0.60583,1.38424,0.54147,0.39054,0.41182,0.25758,1.41712,1.97445,2.26476,0.000637,0.000637,0.000637
112,1451.44,0.88933,0.61388,1.46898,0.89392,0.2087,0.27186,0.16881,1.70395,2.77384,2.51164,0.0006337,0.0006337,0.0006337
113,1464.28,0.75988,0.57024,1.36205,1,0.26607,0.39597,0.25589,1.32641,2.54333,2.12553,0.0006304,0.0006304,0.0006304
114,1477.08,0.8013,0.60501,1.35235,0.68708,0.45833,0.55273,0.39488,1.06484,1.49865,1.70963,0.0006271,0.0006271,0.0006271
115,1489.92,0.76608,0.55023,1.33508,0.67336,0.62601,0.60268,0.43139,0.92678,1.30913,1.67231,0.0006238,0.0006238,0.0006238
116,1502.79,0.78571,0.56891,1.33143,0.5183,0.88865,0.61332,0.46883,0.86392,1.09275,1.75016,0.0006205,0.0006205,0.0006205
117,1515.62,0.78824,0.5745,1.37475,0.67015,0.88889,0.67866,0.51334,0.87914,1.05605,1.68834,0.0006172,0.0006172,0.0006172
118,1528.5,0.79363,0.56569,1.3263,0.76838,0.85821,0.70402,0.51414,1.00268,1.06044,1.70187,0.0006139,0.0006139,0.0006139
119,1541.29,0.74326,0.52944,1.30781,0.76544,0.83333,0.70197,0.48701,1.10208,1.15941,1.82072,0.0006106,0.0006106,0.0006106
120,1554.14,0.73818,0.53277,1.30939,0.749,0.83333,0.7062,0.46727,1.11332,1.31781,2.03213,0.0006073,0.0006073,0.0006073
121,1566.98,0.74481,0.55621,1.31212,0.75439,0.83333,0.70148,0.52575,0.94734,1.22149,1.83603,0.000604,0.000604,0.000604
122,1580.07,0.78525,0.5441,1.40018,0.75117,0.83333,0.69076,0.48491,1.01417,1.17093,1.83317,0.0006007,0.0006007,0.0006007
123,1592.93,0.78023,0.56333,1.35479,0.7062,0.83333,0.64836,0.45762,1.0045,1.28758,1.79586,0.0005974,0.0005974,0.0005974
124,1605.73,0.73322,0.59729,1.3169,0.70907,0.82459,0.6547,0.4279,1.02726,1.42109,1.74066,0.0005941,0.0005941,0.0005941
125,1618.6,0.75295,0.55067,1.31038,0.65225,0.83333,0.65772,0.42751,0.98871,1.44818,1.7057,0.0005908,0.0005908,0.0005908
126,1631.5,0.70676,0.54646,1.2621,0.62014,0.83333,0.69603,0.42953,0.98809,1.3701,1.77304,0.0005875,0.0005875,0.0005875
127,1644.34,0.77216,0.5938,1.32989,0.66231,0.70452,0.70685,0.49333,0.96051,1.4041,1.73145,0.0005842,0.0005842,0.0005842
128,1657.19,0.74074,0.6016,1.28911,0.68571,0.83333,0.67834,0.50741,0.91673,1.30063,1.58731,0.0005809,0.0005809,0.0005809
129,1669.99,0.76469,0.55237,1.36225,0.75165,0.82813,0.68514,0.53201,0.91349,1.314,1.55248,0.0005776,0.0005776,0.0005776
130,1683.06,0.68095,0.5104,1.30506,0.58391,0.77778,0.64913,0.47502,0.92267,1.51749,1.56094,0.0005743,0.0005743,0.0005743
131,1696.01,0.78979,0.57883,1.39272,0.52302,0.65278,0.54709,0.3793,1.28037,1.64394,2.09447,0.000571,0.000571,0.000571
132,1708.85,0.84142,0.59623,1.43082,0.45461,0.65278,0.592,0.38212,1.23903,1.47882,2.10404,0.0005677,0.0005677,0.0005677
133,1721.69,0.7764,0.54534,1.30957,0.61121,0.82932,0.63946,0.46409,1.22545,1.2776,1.96601,0.0005644,0.0005644,0.0005644
134,1734.48,0.71473,0.51585,1.33512,0.65528,0.83299,0.66681,0.46981,1.07532,1.31067,1.7691,0.0005611,0.0005611,0.0005611
135,1747.32,0.7713,0.5511,1.37535,0.61787,0.87813,0.74241,0.48507,1.08364,1.23957,1.82476,0.0005578,0.0005578,0.0005578
136,1760.17,0.74001,0.5478,1.33207,0.69679,0.88889,0.77626,0.53076,1.06321,1.08438,1.84588,0.0005545,0.0005545,0.0005545
137,1773.22,0.76004,0.55669,1.29092,0.73343,0.88889,0.76474,0.5136,1.08872,1.21599,1.87976,0.0005512,0.0005512,0.0005512
138,1786.09,0.70333,0.52846,1.28916,0.89249,0.88118,0.80628,0.5695,0.94243,1.20269,1.68098,0.0005479,0.0005479,0.0005479
139,1799.12,0.71487,0.53914,1.29374,0.87949,0.88889,0.81278,0.55207,0.94722,1.14541,1.71667,0.0005446,0.0005446,0.0005446
140,1811.96,0.73604,0.58865,1.32882,0.88158,0.8779,0.82143,0.48578,1.14789,1.39049,1.94611,0.0005413,0.0005413,0.0005413
141,1824.81,0.71417,0.523,1.2686,0.82847,0.87833,0.77347,0.52099,1.06187,1.34366,1.81288,0.000538,0.000538,0.000538
142,1837.65,0.74828,0.55267,1.33793,0.8128,0.85983,0.73572,0.54393,0.7977,1.36535,1.48153,0.0005347,0.0005347,0.0005347
143,1850.5,0.70823,0.55262,1.28628,0.71514,0.88889,0.74407,0.58928,0.84661,1.31335,1.55918,0.0005314,0.0005314,0.0005314
144,1863.52,0.7298,0.54383,1.277,0.67303,0.88889,0.74416,0.57978,0.87267,1.28123,1.57767,0.0005281,0.0005281,0.0005281
145,1876.35,0.78307,0.57356,1.31823,0.68763,0.88889,0.73326,0.54565,0.86611,1.2789,1.57273,0.0005248,0.0005248,0.0005248
146,1889.22,0.71631,0.49546,1.28497,0.67456,0.88889,0.71326,0.53099,0.89711,1.21976,1.58461,0.0005215,0.0005215,0.0005215
147,1902.09,0.69899,0.58962,1.29447,0.62652,0.88797,0.69848,0.52589,0.91156,1.28786,1.64457,0.0005182,0.0005182,0.0005182
148,1914.94,0.76682,0.54117,1.34183,0.68837,0.88889,0.71619,0.50827,0.98386,1.38084,1.71611,0.0005149,0.0005149,0.0005149
149,1927.76,0.67848,0.47533,1.2379,0.79313,0.88889,0.73202,0.46878,1.04406,1.54532,1.80028,0.0005116,0.0005116,0.0005116
150,1940.61,0.70508,0.48677,1.27236,0.74262,0.87625,0.73378,0.5129,1.06726,1.7531,2.02659,0.0005083,0.0005083,0.0005083
151,1953.47,0.68965,0.47557,1.27698,0.68325,0.87266,0.68736,0.4939,1.04788,1.93888,2.09981,0.000505,0.000505,0.000505
152,1966.3,0.6774,0.50454,1.26017,0.69265,0.88008,0.70262,0.51974,0.99637,1.68834,2.03611,0.0005017,0.0005017,0.0005017
153,1979.14,0.69469,0.5186,1.28246,0.63725,0.83333,0.75909,0.40532,1.49255,1.281,2.54467,0.0004984,0.0004984,0.0004984
154,1991.96,0.72079,0.50966,1.32876,0.52111,0.70833,0.65413,0.41609,1.53679,1.38978,2.55198,0.0004951,0.0004951,0.0004951
155,2004.81,0.73355,0.5095,1.25171,0.5429,0.63889,0.62425,0.31385,2.14061,1.90246,3.22075,0.0004918,0.0004918,0.0004918
156,2017.7,0.73736,0.53632,1.30609,0.54619,0.88889,0.70522,0.42761,1.17551,1.25509,2.02028,0.0004885,0.0004885,0.0004885
157,2030.53,0.69685,0.52252,1.25404,0.61442,0.8715,0.72007,0.47586,1.05932,1.14013,1.86096,0.0004852,0.0004852,0.0004852
158,2043.35,0.66217,0.53471,1.26852,0.67684,0.85901,0.78234,0.57836,1.08924,1.12849,1.90231,0.0004819,0.0004819,0.0004819
159,2056.11,0.74343,0.54138,1.32089,0.73225,0.87714,0.74955,0.56048,0.96437,1.14296,1.74592,0.0004786,0.0004786,0.0004786
160,2068.97,0.69606,0.4983,1.2776,0.76098,0.87236,0.7159,0.55251,0.86997,1.22395,1.58508,0.0004753,0.0004753,0.0004753
161,2081.81,0.70081,0.59127,1.29385,0.63444,0.83333,0.67913,0.51,0.89427,1.41708,1.63354,0.000472,0.000472,0.000472
162,2094.63,0.65236,0.52616,1.2762,0.65468,0.85987,0.69038,0.51742,0.88963,1.36328,1.69375,0.0004687,0.0004687,0.0004687
163,2107.49,0.67577,0.51869,1.29365,0.67575,0.88889,0.71893,0.54218,0.91632,1.34281,1.74637,0.0004654,0.0004654,0.0004654
164,2120.3,0.62612,0.48459,1.21966,0.671,0.88889,0.6992,0.49907,1.01833,1.57285,1.80133,0.0004621,0.0004621,0.0004621
165,2133.17,0.6876,0.49413,1.24884,0.55219,0.84966,0.61254,0.38759,1.14701,1.54595,1.96553,0.0004588,0.0004588,0.0004588
166,2146.01,0.6782,0.49166,1.22321,0.59819,0.88889,0.66328,0.44417,0.98294,1.45224,1.8141,0.0004555,0.0004555,0.0004555
167,2158.84,0.65438,0.52737,1.23101,0.60666,0.88889,0.67267,0.507,0.90795,1.20102,1.80504,0.0004522,0.0004522,0.0004522
168,2171.75,0.63806,0.47675,1.20161,0.62916,0.88889,0.7339,0.56502,0.88515,0.99053,1.70472,0.0004489,0.0004489,0.0004489
169,2184.53,0.64382,0.48065,1.23432,0.62258,0.88072,0.76567,0.58056,0.8787,0.94356,1.66582,0.0004456,0.0004456,0.0004456
170,2197.37,0.70254,0.50542,1.29152,0.73721,0.88889,0.76631,0.57542,0.81927,0.90852,1.54485,0.0004423,0.0004423,0.0004423
171,2210.19,0.63247,0.43009,1.23729,0.82495,0.87848,0.7731,0.55332,0.91485,0.8499,1.67603,0.000439,0.000439,0.000439
172,2223.04,0.68604,0.49424,1.28324,0.79312,0.80369,0.82431,0.61986,0.7906,1.06232,1.49841,0.0004357,0.0004357,0.0004357
173,2236.15,0.65773,0.54847,1.24592,0.77567,0.83333,0.69418,0.53612,0.80437,1.42593,1.47223,0.0004324,0.0004324,0.0004324
174,2248.96,0.70171,0.53954,1.25373,0.77495,0.83333,0.67854,0.52167,0.86264,1.48334,1.56572,0.0004291,0.0004291,0.0004291
175,2261.84,0.68976,0.48811,1.23727,0.78093,0.82624,0.68918,0.51035,0.87445,1.48759,1.57812,0.0004258,0.0004258,0.0004258
176,2274.69,0.6842,0.47452,1.27858,0.78514,0.81649,0.71861,0.55123,0.82889,1.28598,1.51995,0.0004225,0.0004225,0.0004225
177,2287.54,0.70546,0.54165,1.29503,0.80953,0.83333,0.75505,0.58349,0.78772,1.21939,1.47172,0.0004192,0.0004192,0.0004192
178,2300.38,0.63424,0.5034,1.2178,0.79757,0.83333,0.7284,0.57359,0.76942,1.11222,1.4572,0.0004159,0.0004159,0.0004159
179,2313.18,0.59041,0.42776,1.17695,0.76511,0.83333,0.74468,0.56631,0.78376,1.08072,1.49084,0.0004126,0.0004126,0.0004126
180,2326.03,0.65509,0.49786,1.26841,0.779,0.83333,0.74529,0.57559,0.81173,1.06083,1.5449,0.0004093,0.0004093,0.0004093
181,2338.87,0.61862,0.47319,1.23422,0.80081,0.83333,0.7483,0.57056,0.84893,0.99169,1.62002,0.000406,0.000406,0.000406
182,2351.73,0.609,0.45295,1.18564,0.8177,0.88326,0.76179,0.55482,0.91463,1.03827,1.78414,0.0004027,0.0004027,0.0004027
183,2364.56,0.6836,0.49124,1.19792,0.80517,0.8544,0.76295,0.58607,0.80673,0.94852,1.60458,0.0003994,0.0003994,0.0003994
184,2377.36,0.66829,0.46704,1.21839,0.8064,0.8878,0.76611,0.58031,0.77344,0.91621,1.4699,0.0003961,0.0003961,0.0003961
185,2390.24,0.63252,0.48778,1.23911,0.73441,0.76389,0.73598,0.59754,0.73263,0.9064,1.40082,0.0003928,0.0003928,0.0003928
186,2403.07,0.64771,0.45176,1.25592,0.7182,0.76389,0.73033,0.56321,0.76334,0.90926,1.42981,0.0003895,0.0003895,0.0003895
187,2415.91,0.68016,0.45294,1.23074,0.61862,0.76389,0.73587,0.55497,0.81465,0.90354,1.50078,0.0003862,0.0003862,0.0003862
188,2428.77,0.62477,0.47955,1.21361,0.60777,0.76389,0.73174,0.56183,0.78863,0.89599,1.54397,0.0003829,0.0003829,0.0003829
